"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20459","Выход из аккаунта","tests","2026-05-24","passed","2026-05-24","TestProfile","Личный кабинет","",""
"","28118","При создании заказа счетчик Выполнено за все время увеличивается","tests","2026-05-24","passed","2026-05-24","TestOrderFeed","Лента заказов","",""
"","10397","При создании заказа счетчик Выполнено за сегодня увеличивается","tests","2026-05-24","passed","2026-05-24","TestOrderFeed","Лента заказов","",""
"","9765","При создании заказа счетчик Выполнено за сегодня увеличивается","tests","2026-05-24","passed","2026-05-24","TestOrderFeed","Лента заказов","",""
"","22240","Залогиненный пользователь может оформить заказ","tests","2026-05-24","passed","2026-05-24","TestMainFunctionality","Основной функционал","",""
"","9238","Клик на заказ открывает всплывающее окно с деталями","tests","2026-05-24","passed","2026-05-24","TestOrderFeed","Лента заказов","",""
"","21383","Переход по клику на Личный Кабинет","tests","2026-05-24","passed","2026-05-24","TestProfile","Личный кабинет","",""
"","29191","При создании заказа счетчик Выполнено за все время увеличивается","tests","2026-05-24","passed","2026-05-24","TestOrderFeed","Лента заказов","",""
"","19654","Переход в раздел История заказов","tests","2026-05-24","passed","2026-05-24","TestProfile","Личный кабинет","",""
"","11010","При добавлении ингредиента увеличивается каунтер","tests","2026-05-24","passed","2026-05-24","TestMainFunctionality","Основной функционал","",""
"","28739","Заказы пользователя из истории отображаются в ленте заказов","tests","2026-05-24","passed","2026-05-24","TestOrderFeed","Лента заказов","",""
"","20130","Выход из аккаунта","tests","2026-05-24","passed","2026-05-24","TestProfile","Личный кабинет","",""
"","26813","Заказы пользователя из истории отображаются в ленте заказов","tests","2026-05-24","passed","2026-05-24","TestOrderFeed","Лента заказов","",""
"","24130","Переход по клику на Личный Кабинет","tests","2026-05-24","passed","2026-05-24","TestProfile","Личный кабинет","",""
"","7464","Клик на ингредиент открывает окно с деталями","tests","2026-05-24","passed","2026-05-24","TestMainFunctionality","Основной функционал","",""
"","8934","Клик на ингредиент открывает окно с деталями","tests","2026-05-24","passed","2026-05-24","TestMainFunctionality","Основной функционал","",""
"","9075","Переход на страницу восстановления пароля","tests","2026-05-24","passed","2026-05-24","TestPasswordRecovery","Восстановление пароля","",""
"","19353","Клик по кнопке показать пароль делает поле активным","tests","2026-05-24","passed","2026-05-24","TestPasswordRecovery","Восстановление пароля","",""
"","17007","Клик по кнопке показать пароль делает поле активным","tests","2026-05-24","passed","2026-05-24","TestPasswordRecovery","Восстановление пароля","",""
"","21942","После оформления заказа его номер появляется в разделе В работе","tests","2026-05-24","passed","2026-05-24","TestOrderFeed","Лента заказов","",""
"","13089","Всплывающее окно закрывается кликом по крестику","tests","2026-05-24","passed","2026-05-24","TestMainFunctionality","Основной функционал","",""
"","20355","После оформления заказа его номер появляется в разделе В работе","tests","2026-05-24","passed","2026-05-24","TestOrderFeed","Лента заказов","",""
"","12045","Переход по клику на Лента заказов","tests","2026-05-24","passed","2026-05-24","TestMainFunctionality","Основной функционал","",""
"","24632","Залогиненный пользователь может оформить заказ","tests","2026-05-24","passed","2026-05-24","TestMainFunctionality","Основной функционал","",""
"","11113","Всплывающее окно закрывается кликом по крестику","tests","2026-05-24","passed","2026-05-24","TestMainFunctionality","Основной функционал","",""
"","9705","Клик на заказ открывает всплывающее окно с деталями","tests","2026-05-24","passed","2026-05-24","TestOrderFeed","Лента заказов","",""
"","20037","Переход в раздел История заказов","tests","2026-05-24","passed","2026-05-24","TestProfile","Личный кабинет","",""
"","11311","Ввод почты и клик по кнопке Восстановить","tests","2026-05-24","passed","2026-05-24","TestPasswordRecovery","Восстановление пароля","",""
"","10668","При добавлении ингредиента увеличивается каунтер","tests","2026-05-24","passed","2026-05-24","TestMainFunctionality","Основной функционал","",""
"","7758","Переход по клику на Конструктор","tests","2026-05-24","passed","2026-05-24","TestMainFunctionality","Основной функционал","",""
"","11951","Переход по клику на Лента заказов","tests","2026-05-24","passed","2026-05-24","TestMainFunctionality","Основной функционал","",""
"","11290","Ввод почты и клик по кнопке Восстановить","tests","2026-05-24","passed","2026-05-24","TestPasswordRecovery","Восстановление пароля","",""
"","7438","Переход на страницу восстановления пароля","tests","2026-05-24","passed","2026-05-24","TestPasswordRecovery","Восстановление пароля","",""
"","7614","Переход по клику на Конструктор","tests","2026-05-24","passed","2026-05-24","TestMainFunctionality","Основной функционал","",""
